"cne","cin","Nom","Prenom","anneeNaissance","VilleBac","filiere","niveau","noteS1","noteS2","noteS3","noteS4","noteS5","noteS6","nbrAbsences","nbrRapportsMauvaiseConduite","nbrRapportsTriche","noteStage1","lieuxStage1","noteStage2","lieuxStage2","noteStage3","lieuxStage3"
"5","AB537692056","OAPNN","BTWYH","2001","Tetouan","Civil","1","15","17","15","19","15","11","1","3","2","9","Marrakech","17","Tetouan","14","Tanger"
"20","AB366148229","JILRY","LQDER","2000","Casablanca","Civil","3","11","10","20","9","17","9","3","3","2","13","Rabat","16","Nador","14","Marrakech"
"27","AB640574832","UUFDV","WAPMI","2000","Casablanca","Civil","3","12","19","9","18","19","15","4","0","1","12","Agadir","19","Casablanca","15","Oujda"
"31","AB128776224","PNVDC","GKFGX","1998","Casablanca","Civil","1","12","12","9","11","10","19","2","2","2","18","Marrakech","14","Fes","14","Nador"
"32","AB084832228","GLFKF","JPQVO","2000","Rabat","Civil","1","20","10","18","17","15","18","5","2","1","18","Fes","20","Marrakech","16","Agadir"
"35","AB611922081","KOHOE","IEWNZ","2002","Agadir","Civil","3","18","14","17","16","18","12","0","1","1","14","Marrakech","11","Fes","9","Rabat"
"36","AB327897442","SSQLS","JHKJK","2001","Fes","Civil","2","20","11","12","20","19","10","5","3","1","18","Oujda","10","Casablanca","11","Tetouan"
"40","AB428739632","EQDEA","SXKEI","2001","Marrakech","Civil","1","13","20","12","15","20","10","0","3","2","20","Tanger","18","Fes","11","Tanger"
"47","AB728265171","PRYTY","CTSZR","2002","Agadir","Civil","2","9","17","16","13","15","14","1","1","0","18","Fes","15","Tanger","15","Tanger"
"60","AB622723090","ZGMUO","JUGYA","2002","Oujda","Civil","2","14","12","19","9","20","17","0","2","1","12","Oujda","11","Marrakech","14","Marrakech"
"69","AB887662203","UCJFY","PDYTX","1998","Nador","Civil","3","19","20","14","15","9","11","0","2","0","13","Casablanca","10","Casablanca","13","Agadir"
"74","AB796188865","EPGOF","BNVRC","2000","Casablanca","Civil","1","12","18","11","19","12","17","4","2","1","15","Nador","10","Agadir","10","Rabat"
"84","AB029141971","OCUXY","OOOBW","1998","Fes","Civil","2","16","19","17","20","14","14","5","3","0","10","Nador","10","Casablanca","16","Tetouan"
"86","AB929184671","PGTRC","OYYBF","1999","Casablanca","Civil","1","13","20","18","10","10","19","2","3","2","14","Marrakech","17","Nador","16","Rabat"
"89","AB297977244","QMWFJ","GTGSP","2000","Agadir","Civil","2","17","10","15","16","16","13","0","3","0","18","Tanger","19","Marrakech","16","Agadir"
"93","AB803666636","VIFGP","BDOZT","2002","Tanger","Civil","2","10","14","14","20","19","11","3","0","0","12","Nador","10","Agadir","11","Fes"
"95","AB796703775","UEOLY","PRNRX","2000","Agadir","Civil","2","10","13","16","11","12","17","2","1","1","18","Oujda","19","Casablanca","18","Fes"
"104","AB967119121","PDIAV","MWQIA","2000","Rabat","Civil","1","19","15","16","12","17","19","0","1","1","20","Nador","12","Marrakech","9","Tetouan"
"111","AB492446673","WOEZQ","JLZTC","2001","Marrakech","Civil","3","17","16","14","9","14","9","4","0","0","20","Fes","11","Nador","20","Tanger"
"113","AB074844940","KCNXS","ZSZUD","2001","Oujda","Civil","3","10","20","15","15","14","14","0","1","0","13","Nador","17","Tanger","15","Oujda"
"119","AB658388915","FZTDJ","NQZTF","2000","Tetouan","Civil","2","14","13","19","12","20","13","3","2","2","17","Agadir","12","Nador","11","Rabat"
"127","AB307806051","EUEVC","YKTRJ","2000","Nador","Civil","1","20","17","10","20","14","15","5","0","0","13","Oujda","15","Agadir","17","Tanger"
"128","AB256122644","KDIYK","PCTHV","1998","Nador","Civil","3","18","20","15","16","19","9","4","3","2","9","Marrakech","12","Casablanca","11","Tanger"
"131","AB584789547","VNCAQ","RDEYU","1998","Tetouan","Civil","2","13","13","11","9","12","13","3","0","2","16","Oujda","14","Fes","13","Tanger"
"133","AB993161345","OVSCI","HKYRN","2000","Rabat","Civil","2","13","12","10","9","11","16","3","0","1","9","Oujda","15","Casablanca","17","Fes"
"140","AB753405498","AKRWR","CFPOU","1998","Agadir","Civil","2","14","12","13","20","17","12","5","1","2","13","Rabat","19","Marrakech","9","Agadir"
"144","AB559693636","TIZBF","HNFCS","1999","Tetouan","Civil","1","10","11","15","11","20","16","3","0","0","12","Nador","20","Marrakech","17","Rabat"
"146","AB657395358","TKQLM","UDJPC","2000","Fes","Civil","2","20","10","12","20","14","13","4","3","0","12","Rabat","11","Agadir","20","Agadir"
"152","AB299609582","NRYNO","LDSNJ","2000","Casablanca","Civil","1","11","17","13","17","20","16","3","0","2","9","Nador","11","Tanger","19","Agadir"
"155","AB935031370","MAMNM","WHFMB","2000","Oujda","Civil","3","17","16","10","13","19","18","2","0","0","14","Tanger","18","Marrakech","16","Marrakech"
"164","AB107511771","ILDAY","JCPFR","2002","Tanger","Civil","2","11","12","17","18","16","15","1","0","2","18","Tanger","11","Tetouan","16","Tanger"
"167","AB696092586","LGHVJ","KIHME","2000","Oujda","Civil","2","11","17","12","12","15","14","0","3","0","13","Nador","12","Nador","13","Fes"
"187","AB824610007","OCELP","COJLE","2000","Marrakech","Civil","1","19","18","11","15","11","19","0","0","1","10","Fes","17","Rabat","15","Fes"
"193","AB324353829","BUQSE","DOHAQ","2002","Marrakech","Civil","2","10","16","15","20","20","9","1","1","2","14","Fes","12","Fes","20","Tanger"
"195","AB496769260","JOWIS","CMFGU","1998","Rabat","Civil","1","16","19","19","9","18","18","1","3","0","18","Oujda","10","Nador","13","Agadir"
"202","AB483660321","AARKN","IIGBL","1998","Casablanca","Civil","2","10","16","16","17","9","19","4","2","2","18","Oujda","12","Oujda","18","Fes"
"208","AB272683413","CNUAH","CUCXD","1999","Oujda","Civil","2","17","10","19","13","13","12","3","3","2","9","Fes","16","Nador","19","Tanger"
"209","AB947895252","VYPJH","XOPSV","1998","Fes","Civil","2","16","18","15","17","17","11","0","1","2","15","Tanger","19","Fes","13","Nador"
"217","AB249395346","CNDWY","RKVXG","1998","Oujda","Civil","1","14","12","9","17","16","17","2","2","0","15","Nador","14","Tetouan","10","Tetouan"
"220","AB884157775","MBWRC","PNRLY","1999","Tetouan","Civil","1","11","17","20","10","18","17","2","2","1","18","Tetouan","17","Marrakech","15","Fes"
"221","AB402659273","HXWAC","HKJWR","2002","Rabat","Civil","1","18","13","17","12","19","18","0","3","1","20","Fes","16","Casablanca","16","Marrakech"
