"cne","cin","Nom","Prenom","anneeNaissance","VilleBac","filiere","niveau","noteS1","noteS2","noteS3","noteS4","noteS5","noteS6","nbrAbsences","nbrRapportsMauvaiseConduite","nbrRapportsTriche","noteStage1","lieuxStage1","noteStage2","lieuxStage2","noteStage3","lieuxStage3"
"4","AB022298343","WQFFM","OBLGF","2001","Rabat","Electrique","1","14","18","13","13","20","15","3","0","1","15","Tanger","12","Marrakech","11","Tetouan"
"8","AB895600335","WPTIH","HZTRQ","2002","Fes","Electrique","1","16","11","9","15","12","17","4","1","0","9","Fes","14","Agadir","11","Marrakech"
"9","AB072562325","NEPXX","ECUBU","2001","Fes","Electrique","2","15","9","15","11","17","19","4","1","0","11","Tanger","13","Nador","19","Casablanca"
"12","AB880799664","BUPIM","TXDUR","1998","Tetouan","Electrique","1","13","9","17","19","10","13","0","1","0","17","Tetouan","19","Fes","15","Nador"
"13","AB964161541","AITPA","ZWEPH","2001","Casablanca","Electrique","2","13","15","15","19","19","14","5","1","1","11","Oujda","14","Rabat","20","Oujda"
"15","AB087661099","CCPSI","LHCUM","1998","Tetouan","Electrique","3","19","14","11","16","12","14","2","2","0","14","Agadir","10","Tanger","11","Nador"
"17","AB090065298","TFKWQ","RCHLG","1999","Agadir","Electrique","3","10","10","10","10","12","17","4","0","0","14","Tetouan","20","Tetouan","10","Tetouan"
"21","AB095626428","GDSEK","CJDFN","1998","Tetouan","Electrique","3","15","17","18","16","16","13","0","2","0","11","Marrakech","12","Marrakech","10","Fes"
"23","AB444766599","XOQZD","YNRHY","1999","Nador","Electrique","1","18","19","11","20","10","18","5","0","2","20","Nador","17","Fes","9","Agadir"
"26","AB716316465","YSRUR","CDXMH","2001","Nador","Electrique","1","19","14","9","11","15","12","3","1","0","18","Tanger","19","Marrakech","20","Oujda"
"29","AB231146595","YUNJI","PBUJI","2001","Oujda","Electrique","1","11","15","13","9","11","17","4","0","0","19","Agadir","11","Tetouan","16","Oujda"
"41","AB696092193","QMPNT","UOEDG","2000","Rabat","Electrique","2","15","13","14","13","17","12","1","3","2","12","Oujda","10","Agadir","13","Casablanca"
"50","AB813488387","ZACZZ","ZSXZV","1999","Agadir","Electrique","1","10","13","10","12","12","18","5","1","0","18","Agadir","9","Marrakech","18","Fes"
"52","AB453457279","TEBHX","OXCAY","2002","Nador","Electrique","1","18","17","13","18","16","10","0","2","0","11","Fes","18","Marrakech","15","Agadir"
"56","AB298269052","VMTQY","UIHLZ","2001","Oujda","Electrique","3","12","17","9","18","17","20","5","2","1","15","Casablanca","9","Agadir","17","Tanger"
"61","AB126956362","QNDEH","ISXNZ","2002","Agadir","Electrique","2","11","19","11","16","13","17","0","0","0","13","Agadir","20","Oujda","11","Rabat"
"63","AB938418075","CDHFD","LKQZD","1998","Tetouan","Electrique","1","18","17","13","17","17","14","3","1","2","11","Agadir","10","Agadir","15","Oujda"
"64","AB639374513","DQSAS","EJFKI","2001","Fes","Electrique","2","13","17","18","18","19","9","3","0","2","10","Tanger","18","Tetouan","9","Agadir"
"67","AB196429013","DPKGJ","ZCASV","1999","Fes","Electrique","1","11","11","18","9","18","14","0","3","0","15","Casablanca","9","Oujda","18","Fes"
"71","AB932855296","UDZGH","HIJCE","2002","Tetouan","Electrique","2","20","20","10","9","11","18","5","2","2","13","Marrakech","11","Tetouan","16","Marrakech"
"72","AB161764616","OUOWG","CDMEH","1998","Fes","Electrique","3","12","19","16","15","16","14","3","0","0","11","Tanger","14","Tanger","12","Tanger"
"73","AB550262325","IQDPL","VVNZT","1998","Rabat","Electrique","3","13","19","15","15","9","10","2","3","2","19","Casablanca","10","Tanger","17","Nador"
"87","AB545999429","EHQTN","GHVYM","1999","Marrakech","Electrique","1","19","12","11","13","18","16","1","0","0","9","Marrakech","18","Tanger","19","Casablanca"
"92","AB669933602","MZNEZ","IPXCF","1998","Tanger","Electrique","3","9","12","10","20","20","15","5","2","1","14","Agadir","20","Rabat","16","Casablanca"
"94","AB099471937","SFOMX","SGYTN","1998","Tanger","Electrique","1","15","13","14","14","16","17","4","0","2","13","Agadir","20","Casablanca","16","Rabat"
"97","AB394191080","PQVLA","BWXYK","1998","Rabat","Electrique","3","17","13","11","17","9","13","2","3","2","15","Fes","17","Tetouan","10","Oujda"
"106","AB216084854","VBFBG","TZOTP","2000","Nador","Electrique","2","13","13","9","19","11","18","3","3","0","19","Marrakech","12","Nador","15","Tanger"
"120","AB104767893","BYMFN","VASMJ","2002","Tetouan","Electrique","1","18","9","19","13","13","9","5","3","1","19","Nador","19","Rabat","15","Tetouan"
"122","AB484021829","VENPM","UNVVH","2002","Oujda","Electrique","1","15","14","16","15","16","15","5","3","1","18","Casablanca","15","Nador","12","Tetouan"
"125","AB340081554","CIWGB","RJQGG","1999","Oujda","Electrique","3","19","18","20","19","14","14","2","2","2","16","Oujda","10","Agadir","10","Tanger"
"129","AB500441149","REKKN","ACPTS","1998","Agadir","Electrique","2","20","14","13","10","10","18","0","2","1","17","Marrakech","19","Tanger","13","Rabat"
"130","AB990406373","CCJYI","JETRB","2001","Casablanca","Electrique","3","12","12","9","12","17","13","3","3","0","17","Oujda","16","Tanger","17","Oujda"
"137","AB528403775","VVUHB","JOEMN","2000","Casablanca","Electrique","2","19","18","17","16","14","18","0","1","0","18","Casablanca","15","Tetouan","12","Tanger"
"145","AB683265123","NYOSG","TIAKZ","1998","Agadir","Electrique","1","11","20","15","13","12","18","1","0","2","9","Tetouan","18","Marrakech","18","Agadir"
"147","AB939917309","GTKCU","DFMKF","1998","Fes","Electrique","2","12","16","18","10","14","14","3","0","2","11","Casablanca","16","Casablanca","12","Rabat"
"149","AB927303594","PGDNQ","TWMXO","2000","Tetouan","Electrique","2","20","15","14","15","20","12","1","2","0","14","Oujda","15","Fes","11","Rabat"
"150","AB473373157","WCJLV","BBKWD","1998","Nador","Electrique","1","12","18","19","12","17","12","5","3","0","17","Fes","13","Rabat","11","Tanger"
"153","AB181190787","ZDFDD","MXPRE","2001","Rabat","Electrique","2","9","9","20","10","12","10","4","1","0","17","Marrakech","20","Casablanca","14","Tetouan"
"158","AB458498184","OJRDA","HZXVM","2001","Agadir","Electrique","2","15","12","11","16","11","17","4","2","2","18","Tetouan","10","Tetouan","16","Tetouan"
"163","AB442667873","GSDPW","JBPHE","2001","Tetouan","Electrique","3","9","11","10","14","17","9","0","2","2","10","Tanger","14","Agadir","15","Tanger"
"165","AB571698464","YRGQK","WJOXW","1999","Marrakech","Electrique","2","9","16","18","19","17","16","2","1","1","20","Agadir","17","Fes","20","Nador"
"173","AB609406334","FFFLK","KZYOF","2000","Marrakech","Electrique","3","11","10","13","19","10","16","1","0","1","9","Tanger","10","Oujda","13","Tetouan"
"176","AB011940930","SLYZY","TSKSV","2002","Oujda","Electrique","2","14","19","11","9","11","13","1","0","1","15","Tanger","12","Rabat","11","Tetouan"
"177","AB890409214","TJJVO","OKZCE","2000","Tetouan","Electrique","3","17","11","12","18","11","18","0","0","1","15","Marrakech","17","Marrakech","11","Rabat"
"186","AB038620652","QSQHK","SYZZA","2002","Rabat","Electrique","3","9","10","9","18","17","10","5","0","0","13","Fes","10","Oujda","19","Rabat"
"191","AB208865399","OOAND","BMXLA","2002","Tanger","Electrique","3","13","13","13","19","19","12","0","3","2","16","Marrakech","18","Rabat","12","Marrakech"
"201","AB053648210","TYDCW","VIYSM","2001","Rabat","Electrique","2","10","12","16","17","11","15","3","2","0","16","Oujda","18","Oujda","18","Nador"
