"cne","cin","Nom","Prenom","anneeNaissance","VilleBac","filiere","niveau","noteS1","noteS2","noteS3","noteS4","noteS5","noteS6","nbrAbsences","nbrRapportsMauvaiseConduite","nbrRapportsTriche","noteStage1","lieuxStage1","noteStage2","lieuxStage2","noteStage3","lieuxStage3"
"2","AB356289774","GSQAZ","HQFPU","2001","Oujda","Finance","2","16","12","19","12","9","10","3","2","1","12","Tanger","17","Casablanca","11","Fes"
"3","AB648271124","SJVHF","EEUIR","2002","Casablanca","Finance","2","15","11","11","20","19","9","5","3","0","12","Agadir","19","Marrakech","19","Nador"
"6","AB268422348","VLIHI","QTPCY","2001","Fes","Finance","2","14","16","9","13","10","17","4","1","0","15","Fes","14","Agadir","13","Casablanca"
"10","AB843728418","MXNDM","ZKQGM","2002","Agadir","Finance","2","15","13","16","12","15","18","4","2","0","17","Casablanca","16","Fes","17","Nador"
"11","AB527099118","RYHWQ","XKSGX","1998","Fes","Finance","2","18","11","14","11","13","15","5","2","0","17","Nador","13","Nador","20","Marrakech"
"18","AB991986150","HTEHQ","PDVRC","2000","Oujda","Finance","3","18","16","18","10","17","18","2","0","1","18","Oujda","16","Agadir","18","Agadir"
"28","AB668265626","PUFFI","POYLZ","2001","Fes","Finance","1","11","18","10","12","15","16","2","0","2","13","Oujda","11","Tanger","18","Marrakech"
"34","AB056787204","XFTHI","ISGAJ","2002","Oujda","Finance","1","18","13","15","13","18","17","0","1","0","14","Agadir","14","Casablanca","19","Nador"
"39","AB648904845","RLUEB","CGCMQ","2002","Tetouan","Finance","2","12","18","20","15","16","14","5","2","2","13","Tetouan","9","Marrakech","19","Tetouan"
"51","AB290250568","CHNFB","JVRGD","1998","Fes","Finance","1","15","20","16","15","15","12","3","0","1","18","Casablanca","14","Fes","12","Rabat"
"53","AB869082638","CCOZH","GFKBZ","1999","Marrakech","Finance","1","10","19","11","18","9","10","2","2","2","9","Tetouan","11","Marrakech","19","Oujda"
"54","AB466863443","NUAJE","NKCDY","2000","Rabat","Finance","1","17","14","20","17","9","16","3","1","1","14","Agadir","17","Marrakech","19","Marrakech"
"57","AB263851871","YOBNQ","TMENM","1998","Tanger","Finance","2","11","11","17","13","18","14","4","0","0","17","Casablanca","19","Casablanca","17","Tetouan"
"58","AB362817822","WPQUV","ZMZEB","1998","Oujda","Finance","2","20","14","10","16","19","12","3","0","2","15","Tetouan","13","Tetouan","12","Tetouan"
"65","AB090433269","YLDFF","QNZXQ","2001","Casablanca","Finance","3","13","16","12","9","18","12","3","3","2","15","Oujda","13","Agadir","19","Agadir"
"68","AB328084651","QOVJH","XJXNX","2001","Tanger","Finance","3","9","10","11","11","18","18","4","3","2","20","Agadir","17","Tetouan","20","Marrakech"
"75","AB221194296","PKXWR","HCOMO","2001","Casablanca","Finance","1","9","9","10","9","16","16","0","2","0","11","Fes","20","Fes","15","Tanger"
