"cne","cin","Nom","Prenom","anneeNaissance","VilleBac","filiere","niveau","noteS1","noteS2","noteS3","noteS4","noteS5","noteS6","nbrAbsences","nbrRapportsMauvaiseConduite","nbrRapportsTriche","noteStage1","lieuxStage1","noteStage2","lieuxStage2","noteStage3","lieuxStage3"
"1","AB951130272","XKNAF","LMERE","2001","Agadir","Indus","3","10","13","9","17","18","12","5","2","2","16","Oujda","17","Tanger","16","Agadir"
"25","AB743059118","IQTDW","WQFQJ","1999","Oujda","Indus","1","12","19","14","10","20","14","4","1","1","14","Tetouan","11","Tetouan","14","Rabat"
"30","AB267961321","PHDCN","HRQOM","1999","Tanger","Indus","2","14","18","19","20","11","13","3","2","0","15","Tetouan","9","Rabat","16","Tetouan"
"33","AB840040827","EXKGK","NPOIZ","2002","Nador","Indus","3","18","10","20","19","9","12","1","2","0","11","Fes","19","Tanger","11","Rabat"
"42","AB049398883","LIWWE","EQIIX","1998","Agadir","Indus","2","13","20","17","14","15","18","1","0","2","9","Rabat","15","Fes","18","Rabat"
"43","AB722992368","CVRDA","WAPBJ","1999","Casablanca","Indus","2","10","12","12","10","16","11","0","3","1","19","Fes","17","Nador","11","Nador"
"44","AB415034551","DQMBU","BRAOE","1999","Marrakech","Indus","3","15","13","18","18","17","15","3","1","0","19","Nador","10","Fes","16","Rabat"
"46","AB890641520","ITUYZ","GLPNT","1998","Casablanca","Indus","3","18","13","19","10","9","17","3","0","2","9","Oujda","17","Fes","16","Oujda"
"48","AB952341544","PPYXQ","MFIIU","1998","Casablanca","Indus","3","17","18","18","17","13","20","2","1","2","17","Rabat","13","Nador","11","Casablanca"
"49","AB246149240","WXDWI","GWLFF","2002","Fes","Indus","1","19","15","9","13","14","14","4","3","2","15","Marrakech","14","Marrakech","20","Agadir"
"62","AB169365340","NLOWQ","EKZLC","1999","Casablanca","Indus","1","18","14","18","19","12","12","3","0","1","11","Tetouan","12","Marrakech","20","Fes"
"91","AB093525290","XKZYP","ZMWJJ","2001","Casablanca","Indus","2","16","10","19","19","14","15","3","2","0","15","Casablanca","16","Tetouan","17","Marrakech"
"99","AB644997939","ZWPNC","JBVVG","2001","Agadir","Indus","3","12","11","19","17","14","17","5","0","2","11","Nador","14","Tetouan","13","Fes"
"100","AB144503499","OLQHN","YWADB","1998","Nador","Indus","3","18","18","17","17","19","17","1","1","2","19","Marrakech","13","Oujda","11","Nador"
"101","AB696167316","QUIXG","VRFEX","1998","Fes","Indus","2","17","12","18","16","17","14","2","3","0","17","Nador","12","Rabat","13","Tetouan"
"110","AB296400795","XKQXE","LFMIV","1999","Oujda","Indus","3","12","9","19","16","12","20","2","1","0","14","Marrakech","17","Marrakech","15","Tanger"
"114","AB341427153","AJLZO","ZYJDM","1998","Marrakech","Indus","3","13","10","13","17","18","15","3","2","0","9","Tetouan","13","Fes","17","Oujda"
"115","AB125364514","JVLCE","WNLSW","2001","Oujda","Indus","3","18","19","17","16","20","10","5","1","0","19","Casablanca","15","Rabat","20","Tetouan"
"121","AB441639282","CROWG","DGLYP","2000","Fes","Indus","2","16","11","9","12","17","15","4","2","0","19","Agadir","9","Oujda","20","Fes"
"123","AB803284886","FMIBN","CAWVM","2002","Fes","Indus","2","13","17","17","17","18","9","5","2","1","19","Agadir","12","Casablanca","17","Casablanca"
"135","AB315971205","GUPAE","SNEYJ","2000","Oujda","Indus","1","20","13","11","13","10","12","3","3","1","10","Casablanca","19","Rabat","20","Oujda"
"138","AB045038569","OTAZG","QSMVP","2000","Nador","Indus","1","9","16","9","20","14","15","5","3","2","15","Tanger","11","Oujda","18","Rabat"
"141","AB746525000","KUWYP","NPNTX","2000","Fes","Indus","3","15","12","11","20","14","20","2","2","2","11","Tetouan","19","Agadir","11","Fes"
