"cne","cin","Nom","Prenom","anneeNaissance","VilleBac","filiere","niveau","noteS1","noteS2","noteS3","noteS4","noteS5","noteS6","nbrAbsences","nbrRapportsMauvaiseConduite","nbrRapportsTriche","noteStage1","lieuxStage1","noteStage2","lieuxStage2","noteStage3","lieuxStage3"
"7","AB474051007","ONTLF","BPENS","1998","Tetouan","Info","2","19","15","19","20","17","13","0","3","1","11","Marrakech","14","Tanger","12","Oujda"
"14","AB233698405","XDEVI","LOCKK","1999","Casablanca","Info","1","14","15","15","11","15","14","4","2","0","20","Tetouan","15","Rabat","20","Rabat"
"16","AB583770361","MMHIB","FXDTO","2002","Nador","Info","1","16","11","12","13","10","16","0","2","0","19","Nador","16","Oujda","18","Oujda"
"19","AB701503342","YLXNB","RXWSK","1999","Marrakech","Info","2","10","11","10","9","11","20","4","2","0","16","Tanger","15","Fes","11","Agadir"
"22","AB015203852","TANEA","YINKS","2002","Oujda","Info","1","12","15","18","13","20","19","5","2","0","19","Nador","16","Tetouan","15","Tetouan"
"24","AB715318040","LNIVD","KGXDI","2001","Fes","Info","2","15","9","11","16","17","15","3","3","2","12","Agadir","15","Marrakech","19","Agadir"
"37","AB054365023","THEDY","DFOQB","1999","Oujda","Info","2","20","19","20","15","18","13","5","0","1","14","Fes","9","Tetouan","18","Tetouan"
"38","AB904855190","UKWGP","EBHPZ","2002","Marrakech","Info","2","13","13","14","11","15","11","4","1","2","19","Tetouan","13","Oujda","19","Oujda"
"45","AB875004429","MJSWZ","RPNFB","2000","Agadir","Info","1","15","11","15","18","9","15","1","1","1","19","Tetouan","11","Agadir","15","Rabat"
"55","AB579307762","MKMWJ","YETFJ","1998","Marrakech","Info","2","11","20","14","20","13","12","2","0","0","11","Rabat","12","Agadir","17","Fes"
"59","AB158449060","ZQRYD","TNRRK","2001","Fes","Info","2","19","10","11","12","19","16","2","2","1","13","Nador","20","Nador","11","Marrakech"
"66","AB874984676","PJAYK","IRHSI","2001","Marrakech","Info","1","18","12","13","18","16","17","0","0","0","10","Nador","12","Fes","17","Casablanca"
"70","AB430020835","VKVRX","ZRVPM","1998","Tetouan","Info","2","9","12","12","16","14","20","1","2","1","19","Agadir","12","Marrakech","17","Nador"
"77","AB687120827","NIMYO","ZGXGR","1998","Nador","Info","3","18","18","13","14","19","9","5","2","1","18","Casablanca","16","Oujda","20","Fes"
