"cne","cin","Nom","Prenom","anneeNaissance","VilleBac","filiere","niveau","noteS1","noteS2","noteS3","noteS4","noteS5","noteS6","nbrAbsences","nbrRapportsMauvaiseConduite","nbrRapportsTriche","noteStage1","lieuxStage1","noteStage2","lieuxStage2","noteStage3","lieuxStage3"
"1","AB951130272","XKNAF","LMERE","2001","Agadir","Indus","3","10","13","9","17","18","12","5","2","2","16","Oujda","17","Tanger","16","Agadir"
"2","AB356289774","GSQAZ","HQFPU","2001","Oujda","Finance","2","16","12","19","12","9","10","3","2","1","12","Tanger","17","Casablanca","11","Fes"
"3","AB648271124","SJVHF","EEUIR","2002","Casablanca","Finance","2","15","11","11","20","19","9","5","3","0","12","Agadir","19","Marrakech","19","Nador"
"4","AB022298343","WQFFM","OBLGF","2001","Rabat","Electrique","1","14","18","13","13","20","15","3","0","1","15","Tanger","12","Marrakech","11","Tetouan"
"5","AB537692056","OAPNN","BTWYH","2001","Tetouan","Civil","1","15","17","15","19","15","11","1","3","2","9","Marrakech","17","Tetouan","14","Tanger"
"6","AB268422348","VLIHI","QTPCY","2001","Fes","Finance","2","14","16","9","13","10","17","4","1","0","15","Fes","14","Agadir","13","Casablanca"
"7","AB474051007","ONTLF","BPENS","1998","Tetouan","Info","2","19","15","19","20","17","13","0","3","1","11","Marrakech","14","Tanger","12","Oujda"
"8","AB895600335","WPTIH","HZTRQ","2002","Fes","Electrique","1","16","11","9","15","12","17","4","1","0","9","Fes","14","Agadir","11","Marrakech"
"9","AB072562325","NEPXX","ECUBU","2001","Fes","Electrique","2","15","9","15","11","17","19","4","1","0","11","Tanger","13","Nador","19","Casablanca"
"10","AB843728418","MXNDM","ZKQGM","2002","Agadir","Finance","2","15","13","16","12","15","18","4","2","0","17","Casablanca","16","Fes","17","Nador"
"11","AB527099118","RYHWQ","XKSGX","1998","Fes","Finance","2","18","11","14","11","13","15","5","2","0","17","Nador","13","Nador","20","Marrakech"
"12","AB880799664","BUPIM","TXDUR","1998","Tetouan","Electrique","1","13","9","17","19","10","13","0","1","0","17","Tetouan","19","Fes","15","Nador"
"13","AB964161541","AITPA","ZWEPH","2001","Casablanca","Electrique","2","13","15","15","19","19","14","5","1","1","11","Oujda","14","Rabat","20","Oujda"
"14","AB233698405","XDEVI","LOCKK","1999","Casablanca","Info","1","14","15","15","11","15","14","4","2","0","20","Tetouan","15","Rabat","20","Rabat"
"15","AB087661099","CCPSI","LHCUM","1998","Tetouan","Electrique","3","19","14","11","16","12","14","2","2","0","14","Agadir","10","Tanger","11","Nador"
"16","AB583770361","MMHIB","FXDTO","2002","Nador","Info","1","16","11","12","13","10","16","0","2","0","19","Nador","16","Oujda","18","Oujda"
"17","AB090065298","TFKWQ","RCHLG","1999","Agadir","Electrique","3","10","10","10","10","12","17","4","0","0","14","Tetouan","20","Tetouan","10","Tetouan"
"18","AB991986150","HTEHQ","PDVRC","2000","Oujda","Finance","3","18","16","18","10","17","18","2","0","1","18","Oujda","16","Agadir","18","Agadir"
"19","AB701503342","YLXNB","RXWSK","1999","Marrakech","Info","2","10","11","10","9","11","20","4","2","0","16","Tanger","15","Fes","11","Agadir"
